sma_fast,sma_mid,sma_slow,atr,lowside,highside,rsi_filter,k_period,d_period,rsi_period,stoch_period,sma_filter,Drawd,Total trade,PnL,SQN
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,3,7,7,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,3,7,11,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,3,7,15,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,3,7,19,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,3,7,23,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,3,7,27,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,3,11,7,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,3,11,11,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,3,11,15,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,3,11,19,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,3,11,23,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,3,11,27,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,3,15,7,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,3,15,11,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,3,15,15,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,3,15,19,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,3,15,23,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,3,15,27,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,3,19,7,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,3,19,11,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,3,19,15,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,3,19,19,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,3,19,23,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,3,19,27,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,3,23,7,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,3,23,11,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,3,23,15,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,3,23,19,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,3,23,23,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,3,23,27,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,3,27,7,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,3,27,11,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,3,27,15,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,3,27,19,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,3,27,23,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,3,27,27,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,4,7,7,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,4,7,11,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,4,7,15,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,4,7,19,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,4,7,23,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,4,7,27,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,4,11,7,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,4,11,11,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,4,11,15,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,4,11,19,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,4,11,23,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,4,11,27,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,4,15,7,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,4,15,11,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,4,15,15,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,4,15,19,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,4,15,23,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,4,15,27,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,4,19,7,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,4,19,11,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,4,19,15,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,4,19,19,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,4,19,23,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,4,19,27,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,4,23,7,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,4,23,11,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,4,23,15,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,4,23,19,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,4,23,23,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,4,23,27,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,4,27,7,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,4,27,11,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,4,27,15,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,4,27,19,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,4,27,23,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,3,4,27,27,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,3,7,7,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,3,7,11,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,3,7,15,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,3,7,19,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,3,7,23,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,3,7,27,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,3,11,7,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,3,11,11,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,3,11,15,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,3,11,19,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,3,11,23,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,3,11,27,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,3,15,7,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,3,15,11,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,3,15,15,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,3,15,19,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,3,15,23,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,3,15,27,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,3,19,7,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,3,19,11,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,3,19,15,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,3,19,19,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,3,19,23,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,3,19,27,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,3,23,7,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,3,23,11,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,3,23,15,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,3,23,19,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,3,23,23,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,3,23,27,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,3,27,7,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,3,27,11,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,3,27,15,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,3,27,19,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,3,27,23,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,3,27,27,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,4,7,7,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,4,7,11,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,4,7,15,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,4,7,19,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,4,7,23,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,4,7,27,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,4,11,7,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,4,11,11,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,4,11,15,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,4,11,19,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,4,11,23,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,4,11,27,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,4,15,7,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,4,15,11,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,4,15,15,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,4,15,19,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,4,15,23,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,4,15,27,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,4,19,7,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,4,19,11,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,4,19,15,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,4,19,19,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,4,19,23,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,4,19,27,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,4,23,7,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,4,23,11,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,4,23,15,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,4,23,19,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,4,23,23,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,4,23,27,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,4,27,7,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,4,27,11,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,4,27,15,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,4,27,19,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,4,27,23,350,26.196179475019143,0.0,0.0,0
8,9,302,8,4,2,12,3,3,16,7,350,26.196179475019143,238.5,0.0,0.9741104490986675
302,9,8,8,4,2,12,4,4,27,27,350,26.196179475019143,0.0,0.0,0
